# stamp t_recv t_estimated err ground_truth t_send
2060 1712823003.472595000 1712823003.452069817 6.97237e-05 1712823003.452515 1712823003.471478
2085 1712823003.497647000 1712823003.477069817 8.67362e-19 1712823003.477516 1712823003.496465
2110 1712823003.522605000 1712823003.502069817 8.67362e-19 1712823003.502517 1712823003.521458
2135 1712823003.547667000 1712823003.527069817 8.67362e-19 1712823003.527518 1712823003.546491
2160 1712823003.572682000 1712823003.552069817 8.67362e-19 1712823003.552519 1712823003.571480
2185 1712823003.597571000 1712823003.577069817 8.67362e-19 1712823003.577520 1712823003.596502
2210 1712823003.622693000 1712823003.602069817 8.67362e-19 1712823003.602521 1712823003.621491
2235 1712823003.647673000 1712823003.627069817 8.67362e-19 1712823003.627522 1712823003.646505
2260 1712823003.672483000 1712823003.652069817 8.67362e-19 1712823003.652523 1712823003.671466
2285 1712823003.697576000 1712823003.677069817 8.67362e-19 1712823003.677524 1712823003.696474
2310 1712823003.722681000 1712823003.702069817 8.67362e-19 1712823003.702525 1712823003.721469
2335 1712823003.747570000 1712823003.727069817 8.67362e-19 1712823003.727526 1712823003.746483
2360 1712823003.772742000 1712823003.752069817 8.67362e-19 1712823003.752527 1712823003.771541
2385 1712823003.797675000 1712823003.777069817 8.67362e-19 1712823003.777528 1712823003.796500
2410 1712823003.822651000 1712823003.802069817 8.67362e-19 1712823003.802529 1712823003.821491
2435 1712823003.847725000 1712823003.827069817 8.67362e-19 1712823003.827530 1712823003.846484
2460 1712823003.872622000 1712823003.852069817 8.67362e-19 1712823003.852531 1712823003.871509
2485 1712823003.897633000 1712823003.877069817 8.67362e-19 1712823003.877532 1712823003.896473
2510 1712823003.922660000 1712823003.902069817 8.67362e-19 1712823003.902533 1712823003.921512
2535 1712823003.947732000 1712823003.927069817 8.67362e-19 1712823003.927534 1712823003.946500
2560 1712823003.972621000 1712823003.952069817 8.67362e-19 1712823003.952535 1712823003.971501
2585 1712823003.997562000 1712823003.977069817 8.67362e-19 1712823003.977536 1712823003.996478
2610 1712823004.022662000 1712823004.002069817 8.67362e-19 1712823004.002537 1712823004.021506
